,settlementDate,settlementPeriod,systemSellPrice,systemBuyPrice,netImbalanceVolume
252,2023-10-06,13,0.0,0.0,-78.2106
253,2023-10-06,14,9.09,9.09,-32.08039
254,2023-10-06,15,38.0,38.0,-318.23642
255,2023-10-06,16,46.0,46.0,-56.6376
256,2023-10-06,17,20.0,20.0,-315.3319
257,2023-10-06,18,20.0,20.0,-25.1048
258,2023-10-06,19,20.0,20.0,-109.67062
259,2023-10-06,20,93.75,93.75,27.9433
260,2023-10-06,21,43.42,43.42,-139.3319
261,2023-10-06,22,7.01033,7.01033,-444.53094
262,2023-10-06,23,22.65,22.65,-453.90652
263,2023-10-06,24,-74.0,-74.0,-313.0149
264,2023-10-06,25,-82.24,-82.24,-426.7082
265,2023-10-06,26,-0.08,-0.08,-359.08444
266,2023-10-06,27,9.3,9.3,-331.714
267,2023-10-06,28,10.08,10.08,-269.3178
268,2023-10-06,29,93.75,93.75,0.8792
269,2023-10-06,30,95.0,95.0,183.0196
270,2023-10-06,31,95.0,95.0,210.63062
271,2023-10-06,32,95.0,95.0,108.9673
272,2023-10-06,33,108.8,108.8,483.7237
273,2023-10-06,34,101.0,101.0,171.3025
274,2023-10-06,35,118.0,118.0,215.8551
275,2023-10-06,36,118.8,118.8,475.8414
276,2023-10-06,37,104.58,104.58,516.7774
277,2023-10-06,38,105.14,105.14,549.3505
278,2023-10-06,39,101.0,101.0,16.5588
279,2023-10-06,40,48.0,48.0,-40.9855
280,2023-10-06,41,48.0,48.0,-163.5727
281,2023-10-06,42,46.26,46.26,-196.0276
282,2023-10-06,43,118.0,118.0,71.8864
283,2023-10-06,44,46.26,46.26,-97.16361
284,2023-10-06,45,48.0,48.0,-57.4871
285,2023-10-06,46,46.26,46.26,-83.2839
286,2023-10-06,47,47.3,47.3,-331.7672
287,2023-10-06,48,49.31007,49.31007,-283.0711
288,2023-10-07,1,35.29,35.29,-139.1549
289,2023-10-07,2,32.81013,32.81013,-379.781
290,2023-10-07,3,13.44,13.44,-498.5783
291,2023-10-07,4,12.29,12.29,-601.9292
292,2023-10-07,5,44.42,44.42,-59.494
293,2023-10-07,6,42.42559,42.42559,-220.6715
294,2023-10-07,7,20.76,20.76,-418.3557
295,2023-10-07,8,30.38,30.38,-206.087
296,2023-10-07,9,99.0,99.0,164.6371
297,2023-10-07,10,99.0,99.0,35.9308
298,2023-10-07,11,42.0,42.0,-137.3187
299,2023-10-07,12,34.4,34.4,-183.4577
300,2023-10-07,13,0.0,0.0,-563.7995
301,2023-10-07,14,5.87,5.87,-351.2357
302,2023-10-07,15,66.28,66.28,-121.8832
303,2023-10-07,16,99.0,99.0,122.1393
304,2023-10-07,17,95.0,95.0,26.1697
305,2023-10-07,18,99.0,99.0,86.6105
306,2023-10-07,19,5.0,5.0,-22.0482
307,2023-10-07,20,0.0,0.0,-236.76529
308,2023-10-07,21,97.0,97.0,140.26102
309,2023-10-07,22,5.87,5.87,-38.34579
310,2023-10-07,23,5.88,5.88,-123.8916
311,2023-10-07,24,5.87,5.87,-162.9609
312,2023-10-07,25,94.0,94.0,54.1271
313,2023-10-07,26,94.0,94.0,189.1295
314,2023-10-07,27,-13.5,-13.5,-45.9867
315,2023-10-07,28,94.0,94.0,166.6707
316,2023-10-07,29,11.8,11.8,20.08342
317,2023-10-07,30,9.32,9.32,-43.2231
318,2023-10-07,31,40.66,40.66,-179.6337
319,2023-10-07,32,40.08,40.08,-382.1948
320,2023-10-07,33,20.0,20.0,-241.25981
321,2023-10-07,34,20.0,20.0,-478.86652
322,2023-10-07,35,83.1901,83.1901,63.0385
323,2023-10-07,36,120.0,120.0,557.703
324,2023-10-07,37,96.12,96.12,58.1121
325,2023-10-07,38,102.02,102.02,182.2429
326,2023-10-07,39,120.0,120.0,283.2031
327,2023-10-07,40,120.0,120.0,264.7121
328,2023-10-07,41,119.5,119.5,116.1633
329,2023-10-07,42,119.5,119.5,36.0615
330,2023-10-07,43,92.52,92.52,234.0333
331,2023-10-07,44,30.0,30.0,-96.19819
332,2023-10-07,45,21.1,21.1,-307.366
333,2023-10-07,46,107.0,107.0,82.25391
334,2023-10-07,47,46.35,46.35,-23.9106
335,2023-10-07,48,94.58,94.58,4.34421
336,2023-10-08,1,30.0,30.0,-393.808
337,2023-10-08,2,31.0,31.0,-70.9477
338,2023-10-08,3,105.43,105.43,52.5985
339,2023-10-08,4,106.5,106.5,67.2217
340,2023-10-08,5,109.0,109.0,51.0857
341,2023-10-08,6,109.0,109.0,168.84521
342,2023-10-08,7,110.0,110.0,363.173
343,2023-10-08,8,92.82,92.82,263.2951
344,2023-10-08,9,94.85,94.85,104.32511
345,2023-10-08,10,36.4,36.4,-79.2043
346,2023-10-08,11,30.0,30.0,-72.8357
347,2023-10-08,12,30.0,30.0,-158.2486
348,2023-10-08,13,134.0,134.0,36.5501
349,2023-10-08,14,5.0,5.0,-104.6146
350,2023-10-08,15,-54.96698,-54.96698,-157.535
351,2023-10-08,16,26.0,26.0,-86.90587
352,2023-10-08,17,26.0,26.0,-51.69838
353,2023-10-08,18,122.0,122.0,151.2709
354,2023-10-08,19,127.8,127.8,387.6812
355,2023-10-08,20,128.0,128.0,345.8972
356,2023-10-08,21,97.0,97.0,165.4582
357,2023-10-08,22,97.0,97.0,120.9335
358,2023-10-08,23,-34.1,-34.1,-238.29692
359,2023-10-08,24,-34.1,-34.1,-63.4234
360,2023-10-08,25,30.0,30.0,-84.3991
361,2023-10-08,26,30.0,30.0,-90.5893
362,2023-10-08,27,97.0,97.0,6.8264
363,2023-10-08,28,97.0,97.0,70.5183
364,2023-10-08,29,31.5,31.5,-79.3333
365,2023-10-08,30,31.5,31.5,-127.81749
366,2023-10-08,31,82.41,82.41,8.9448
367,2023-10-08,32,45.0,45.0,-58.99909
368,2023-10-08,33,87.1701,87.1701,65.8133
369,2023-10-08,34,87.1701,87.1701,55.3485
370,2023-10-08,35,124.89011,124.89011,789.0632
371,2023-10-08,36,123.52,123.52,492.1952
372,2023-10-08,37,137.9,137.9,137.2526
373,2023-10-08,38,139.03014,139.03014,420.7756
374,2023-10-08,39,120.26547,120.26547,351.1843
375,2023-10-08,40,119.44,119.44,118.811
376,2023-10-08,41,104.14,104.14,457.856
377,2023-10-08,42,46.0,46.0,-150.65569
378,2023-10-08,43,101.81,101.81,470.5056
379,2023-10-08,44,100.49,100.49,283.5232
380,2023-10-08,45,97.28,97.28,444.9788
381,2023-10-08,46,97.28,97.28,437.9647
